日付,date,short_date,小計
2020-03-02T00:00:00+09:00,2020-03-02,03/02,471
2020-03-03T00:00:00+09:00,2020-03-03,03/03,369
2020-03-04T00:00:00+09:00,2020-03-04,03/04,411
2020-03-05T00:00:00+09:00,2020-03-05,03/05,410
2020-03-06T00:00:00+09:00,2020-03-06,03/06,389
2020-03-07T00:00:00+09:00,2020-03-07,03/07,487
2020-03-08T00:00:00+09:00,2020-03-08,03/08,391
2020-03-09T00:00:00+09:00,2020-03-09,03/09,101
2020-03-10T00:00:00+09:00,2020-03-10,03/10,601
2020-03-11T00:00:00+09:00,2020-03-11,03/11,517
2020-03-12T00:00:00+09:00,2020-03-12,03/12,473
2020-03-13T00:00:00+09:00,2020-03-13,03/13,562
2020-03-14T00:00:00+09:00,2020-03-14,03/14,269
2020-03-15T00:00:00+09:00,2020-03-15,03/15,223
2020-03-16T00:00:00+09:00,2020-03-16,03/16,544
2020-03-17T00:00:00+09:00,2020-03-17,03/17,399
2020-03-18T00:00:00+09:00,2020-03-18,03/18,366
2020-03-19T00:00:00+09:00,2020-03-19,03/19,389
2020-03-20T00:00:00+09:00,2020-03-20,03/20,263
2020-03-21T00:00:00+09:00,2020-03-21,03/21,251
2020-03-22T00:00:00+09:00,2020-03-22,03/22,219
2020-03-23T00:00:00+09:00,2020-03-23,03/23,539
2020-03-24T00:00:00+09:00,2020-03-24,03/24,402
2020-03-25T00:00:00+09:00,2020-03-25,03/25,389
2020-03-26T00:00:00+09:00,2020-03-26,03/26,609
2020-03-27T00:00:00+09:00,2020-03-27,03/27,777
2020-03-28T00:00:00+09:00,2020-03-28,03/28,378
2020-03-29T00:00:00+09:00,2020-03-29,03/29,367
2020-03-30T00:00:00+09:00,2020-03-30,03/30,108
2020-03-31T00:00:00+09:00,2020-03-31,03/31,746
2020-04-01T00:00:00+09:00,2020-04-01,04/01,926
2020-04-02T00:00:00+09:00,2020-04-02,04/02,959
2020-04-03T00:00:00+09:00,2020-04-03,04/03,111
2020-04-04T00:00:00+09:00,2020-04-04,04/04,586
2020-04-05T00:00:00+09:00,2020-04-05,04/05,562
2020-05-11T00:00:00+09:00,2020-05-11,05/11,661
2020-05-12T00:00:00+09:00,2020-05-12,05/12,475
2020-05-13T00:00:00+09:00,2020-05-13,05/13,442
2020-05-14T00:00:00+09:00,2020-05-14,05/14,463
2020-05-15T00:00:00+09:00,2020-05-15,05/15,374
2020-05-16T00:00:00+09:00,2020-05-16,05/16,239
2020-05-17T00:00:00+09:00,2020-05-17,05/17,247
2020-05-18T00:00:00+09:00,2020-05-18,05/18,453
2020-05-19T00:00:00+09:00,2020-05-19,05/19,333
